ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
AppInventor,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,appinventor.mit.edu/,"Το App Inventor για Android είναι ένα περιβάλλον οπτικού προγραμματισμού που παρεχόταν αρχικά από την Google, και τώρα διατίθεται και υποστηρίζεται από το ΜΙΤ.",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,"ONLINE
"
Archimides,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΟΛΟΓΙΑ,ΓΥΜΝΑΣΙΟ,https://www.gnu.org/software/archimedes/,Το Archimedes είναι ένα πακέτο για  semiconductor device simulation,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Arduino IDE,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ,https://www.arduino.cc/en/Main/Software,"Το Arduinο IDE είναι ένα λογισμικό που σας επιτρέπει να  διαχειριστείτε και να δημιουργήσετε για το Arduino μέσω του υπολογιστή σας. Περιλαμβάνει έναν editor δημιουργίας και σύνταξης κώδικα, μια κονσόλα κειμένου, μια γραμμή εργαλείων με κουμπιά για κοινές λειτουργίες και μια σειρά από μενού.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Asymptopia crossword builder,ΣΤΑΥΡΟΛΕΞΑ,ΞΕΝΕΣ ΓΛΩΣΣΕΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://sourceforge.net/projects/axwb/,Εφαρμογή για τη δημιουργία σταυρόλεξων με μαθηματικές πράξεις.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Audacious,ΜΟΥΣΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://audacious-media-player.org/,Open source audio player.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Audacity,ΜΟΥΣΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.audacityteam.org/about/,"Το Audacity είναι ένα δωρεάν, εύκολο στη χρήση, multi-track πρόγραμμα επεξεργασίας ήχου και εγγραφής για Windows, Mac OS X, GNU / Linux και άλλα λειτουργικά συστήματα.","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Avidemux,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://avidemux.sourceforge.net/,"Απλός video editor designed για κόψιμο, φιλτράρισμα και κωδικοποίηση βίντεο",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Babypedia Jigsaw puzzle,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΜΑΘΗΜΑΤΙΚΑ,ΠΡΟΣΧΟΛΙΚΗ,,,,,
Blender 3D,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.blender.org/,"
Το Blender είναι μια από τις δημοφιλέστερες εφαρμογές 3D γραφικών ανοικτού λογισμικούυ και μπορεί να χρησιμοποιηθεί για την δημιουργία 3D οπτικοποιήσεων, ταινιών κτκλ
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Bluefish,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://bluefish.openoffice.nl/index.html,"O Bluefish editor, είναι ενας editoe για την δημιουργία websites, scripts και κώδικα προγραματισμου. Το Bluefish υποστηρίζει πολλές programming και markup languages. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Brasero,CD BURNER,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://wiki.gnome.org/Apps/Brasero,"Εφαρμογή εγγραγής CD/DVD (cdrtools, cdrskin, growisofs,libburn",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Canvas,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.instructure.com,Πλατφόρμες eLearning,,,
Carto,ΓΕΩΓΡΑΦΙΑ,ΓΕΩΛΟΓΙΑ - ΓΕΩΓΡΑΦΙΑ,ΠΡΩΤΟΒΑΘΜΙΑ,"https://carto.com/
","Το εργαλείο CartoDB είναι μια διαδικτυακή πλατφόρμα, εξερευνησης γεωγραφικών δεδομενων",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE
Celestia,ΑΣΤΡΟΝΟΜΙΑ,"ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ
","ΠΡΩΤΟΒΑΘΜΙΑ
", http://www.shatters.net/celestia/ ,"Το Celestia http://www.shatters.net/celestia/ είναι ένα λογισμικό τρισδιάστατης εικονικής αναπαράστασης φαινομένων του σύμπαντος και προσφέρει ένα μαθησιακό περιβάλλον για την διδασκαλία στοιχείων αστρονομίας και διαστημικής. Το Celestia είναι κατάλληλο για την κατανόηση, από τους μαθητές της πρωτοβάθμιας και της δευτεροβάθμιας εκπαίδευσης εννοιών σχετικών με το χώρο και για τη θέση του ανθρώπου στη Γη και το διάστημα.",OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
","CROSSPLATFORM
"
centenia,ΙΣΤΟΡΙΑ,ΙΣΤΟΡΙΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.historicalatlas.com/,"CENTENNIA is a map-based guide to the history of Europe and the Middle East from the beginning of the 11th century to the present. It is a dynamic, animated historical atlas including over 9,000 border changes.",,ΠΛΑΤΦΟΡΜΑ,ONLINE
circuit maker,ΗΛΕΚΤΡΟΝΙΚΗ,ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://circuitmaker.com/About,"CircuitMaker is not just a free EDA software tool from Altium, it’s also a community of creative people and design content, working together to invent circuits and electronics products for a better future.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
ClamWinLynis,"ANTIVIRUS
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,,"Antivirus
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Clonezilla,"ΚΛΩΝΟΠΟΙΗΣΗ ΔΙΣΚΩΝ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://clonezilla.org/,Disk Imaging and Cloning ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
CMAPTOOLS,ΝΟΗΤΙΚΟΙ ΧΑΡΤΕΣ,ΑΡΧΑΙΑ,"ΓΥΜΝΑΣΙΟ
",http://cmap.ihmc.us/cmaptools/,Λογισμικό για νοητικούς χάρτες,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Cn3D,ΠΕΡΙΗΓΗΣΗ ΣΕ 3D ΧΑΡΤΕΣ,ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,https://www.ncbi.nlm.nih.gov/Structure/CN3D/cn3d.shtml,"Cn3D (""see in 3D"") είναι μια βοηθητική εφαρμογή για τον περιηγητή, που σας επιτρέπει να βλέπετε 3διάστατες δομές από την NCBI's Entrez Structure database",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, MACOSX"
Dev-C++,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://orwelldevcpp.blogspot.gr/,Προγραμματιστικό περιβάλλον ανάπτυξης (IDE)  για προγραμματισμό σε C και σε C++.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Dia,ΣΧΕΔΙΑΣΗ ΔΙΑΓΡΑΜΜΑΤΩΝ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://dia-installer.de/,"Πρόγραμμα για την κατασκευή διαγραμμάτων (UML, ER, Network Diagrams κ.ά.).",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
DrPython,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://drpython.sourceforge.net/,Περιβάλλον για την ανάπτυξη κώδικα στη γλώσσα προγραμματισμού Python',OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Drupal,"CMS
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://mydrupal.gr/,Το Drupal είναι ένα ανοιχτού κώδικα Σύστημα διαχείρισης περιεχόμενου (CMS). Χρησιμοποιείται για την δημιουργία και την διαχείριση πολλών και διαφορετικών ιστότοπων.,OPEN SOURCE,,
DustyScript,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,"ΠΡΩΤΟΒΑΘΜΙΑ
","https://sourceforge.net/projects/dustyscript/
","Πρόκειται για μια γλώσσα προγραμματισμού κατάλληλη για παιδιά 8-9 ετών και απλή έτσι ώστε να είναι κατανοητή.
",OPEN SOURCE,EΦΑΡΜΟΓΗ,CROSSPLATFORM
Easy Java Simulations,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΦΥΣΙΚΗ,"ΛΥΚΕΙΟ
",http://www.um.es/fem/Ejs/,Εργαλείο κατασκευής και επεξεργασίας προγραμμάτων Java,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Eclipse Java,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://eclipse.org/,Προγραμματιστικό περιβάλλον ανάπτυξης (IDE)  για προγραμματισμό σε Java ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Edmondo,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,"ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ
",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.edmodo.com/?language=el,Συνεργατική πλατφόρμα,"
",ΠΛΑΤΦΟΡΜΑ,ONLINE
eduTrac,ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.7mediaws.org/,Συστήματα διαχείρισης Πληροφοριών,,,
EdX,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://github.com/edx,Πλατφόρμες eLearning,,,
electric,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.staticfreesoft.com/,Πλήρες σύστημα αυτοματοποιημένης ηλεκτρονικής σχεδίασης και προσομοίωσης κυκλωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
elvis,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://elvis.the-little-red-haired-girl.org/,"Editor  vi/ex clone, ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Enchanting,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://enchanting.robotclub.ab.ca/About,Περιβάλλον προγραμματισμού για LEGO Mindstorms NXT,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
ESRI's Javascript open API,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΜΕΛΕΤΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,ΠΡΩΤΟΒΑΘΜΙΑ,,,,,
eukleides,ΓΕΩΜΕΤΡΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.eukleides.org/overview.html,Η γλώσσα Eukleides περιέχει ένα πλήρες πακέτο εντολών για τη δημιουργία σχημάτων της Ευκλείδειας γεωμετρίας,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
Evolution,"ΗΛΕΚΤΡΟΝΙΚΗ ΑΛΛΗΛΟΓΡΑΦΙΑ
","
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://wiki.gnome.org/Apps/Evolution," Πρόκειται για εφαρμογή ηλεκτρονικής αλληλογραφίας για την επιφάνεια εργασίας GNOME, ενώ παράλληλα περιλαμβάνει ημερολόγιο και πρόγραμμα διαχείρισης επαφών.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Ffmpeg,ΜΟΥΣΙΚΗ#ΒΙΝΤΕΟ,ΕΙΚΑΣΤΙΚΑ,"ΓΥΜΝΑΣΙΟ
",https://www.ffmpeg.org/,"Εφαρμογή μετρατροπής και strreaming αρχείων βίντεο / ήχου σε άλλα, όπως FLV και άλλες μορφές βίντεο χρησιμοποιώντας τον κωδικοποιητή XviD / x264
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
FileZilla,ΕΦΑΡΜΟΓΗ ΓΙΑ FTP,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://filezilla-project.org/index.php,"Εφαρμογή FTP, FTPS and SFTP client with lots of useful features and an intuitive graphical user interface.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
FreeBSD,"ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.freebsd.org/,"FreeBSD is an advanced computer operating system used to power modern servers, desktops, and embedded platforms.",OPEN SOURCE,ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ,
FreePCB,ΗΛΕΚΤΡΟΝΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://www.freepcb.com/,PCB editor για Microsoft Windows,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Fritzing,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://fritzing.org/home/,"

Λογισμικο προσομοιωσης κατασκευής ηλεκτρονικών πλακετών, ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
GanttProject,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,,,https://www.ganttproject.biz,Διαχείριση έργων,,,
GCC,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΛΥΚΕΙΟ,https://gcc.gnu.org/,"The GNU Compiler Collection (GCC) Πρόκειται για συλλογή μεταγλωττιστών για τις γλώσσες C, C++, Objective-C, Fortran, Java και Ada.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
gcompris,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΛΩΣΣΑ,ΠΡΟΣΧΟΛΙΚΗ,http://gcompris.net/index-el.html,"Το GCompris είναι μια σουίτα εκπαιδευτικού λογισμικού και αποτελείται από ένα μεγάλο πλήθος δραστηριοτήτων για παιδιά ηλικίας 2 έως 10 ετών.

Μερικές από τις δραστηριότητες αν και έχουν παιγνιώδη χαρακτήρα, ωστόσο διατηρούν τον εκπαιδευτικό τους προσανατολισμό.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Geany,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,http://www.geany.org,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environmen,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"LINUX, WINDOWS"
genChemLab,ΧΗΜΕΙΑ,ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://genchemlab.sourceforge.net/,εφαρμογή για την προσομοίωση ασκήσεων χημείας στο σχολικό χημικό εργαστήριο,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"LINUX, WINDOWS"
Gene Explorer,ΒΙΟΛΟΓΙΑ,ΒΙΟΛΟΓΙΑ,ΛΥΚΕΙΟ,http://intro.bio.umb.edu/GX/,Εφαρμογη εξομοίωσης γονιδιωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
GeoGebra,ΓΕΩΜΕΤΡΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΛΥΚΕΙΟ#ΓΥΜΝΑΣΙΟ#ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.geogebra.org/,"Το GeoGebra (σύνθεση των λέξεων geometry και algebra) αποτελεί διαδραστικό λογισμικό γεωμετρίας για εκπαιδευτικούς σκοπούς
","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
Gibbon,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.gibbonedu.org,Πλατφόρμες eLearning,,,
Gimp,ΕΠΕΞΕΡΓΑΣΙΑ ΦΩΤΟΓΡΑΦΙΑΣ,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.gimp.org/,"Λογισμικό για επεξεργασία φωτογραφιών, σύνθεση και δημιουργία εικόνων.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
GIT,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΛΥΚΕΙΟ,https://git-scm.com/,Το Git (/ɡɪt/) είναι ένα σύστημα ελέγχου εκδόσεων (λέγεται και σύστημα ελέγχου αναθεωρήσεων ή σύστημα ελέγχου πηγαίου κώδικα),OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
GNU Octave,ΜΑΘΗΜΑΤΙΚΑ,ΜΑΘΗΜΑΤΙΚΑ,ΛΥΚΕΙΟ,https://www.gnu.org/software/octave/,"Το Octave είναι ένα μαθηματικό πακέτο (και, κατ' επέκταση, μια υψηλού επιπέδου interpreted γλώσσα προγραμματισμού) που προορίζεται για αριθμητικούς υπολογισμούς και πολλά άλλα. Βασικό στοιχείο του είναι η ευκολία με την οποία χειρίζεται κανείς πίνακες
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM
GoLab,"ΦΥΣΙΚΕΣ ΕΠΙΣΤΗΜΕΣ
",ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://www.go-lab-project.eu/,The Go-Lab Project (Global Online Science Labs for Inquiry Learning at School) opens up online science laboratories (remote and virtual labs) for the large-scale use in school education,,ΠΛΑΤΦΟΡΜΑ,ONLINE
